asciiname,population,location,coord
Laohekou,253112,https://www.google.com/maps/?q,"32.38583,111.66778"
Suihua,252245,https://www.google.com/maps/?q,"46.63954,126.99508"
Liupanshui,251900,https://www.google.com/maps/?q,"26.59444,104.83333"
Nanyang,251532,https://www.google.com/maps/?q,"32.99472,112.53278"
Wafangdian,250591,https://www.google.com/maps/?q,"39.61833,122.00806"
Rizhao,246387,https://www.google.com/maps/?q,"35.4275,119.45528"
Ji'an,245000,https://www.google.com/maps/?q,"27.11716,114.97927"
Hebi,244662,https://www.google.com/maps/?q,"35.89917,114.1925"
Huayin,242488,https://www.google.com/maps/?q,"34.56528,110.06639"
Yibin,242111,https://www.google.com/maps/?q,"28.76667,104.62383"
Xiantao,239406,https://www.google.com/maps/?q,"30.3708,113.44294"
Yuci,235929,https://www.google.com/maps/?q,"37.68028,112.73194"
Linfen,232566,https://www.google.com/maps/?q,"36.08889,111.51889"
Liaocheng,226930,https://www.google.com/maps/?q,"36.45596,115.97766"
Fendou,226298,https://www.google.com/maps/?q,"46.64142,124.86283"
Huanggang,225956,https://www.google.com/maps/?q,"23.67704,116.99961"
Jingling,224871,https://www.google.com/maps/?q,"30.65,113.1"
Tongchuanshi,223603,https://www.google.com/maps/?q,"35.07474,109.08495"
Xintai,222459,https://www.google.com/maps/?q,"35.90056,117.75194"
Wuxue,220661,https://www.google.com/maps/?q,"29.85058,115.5525"
Wuhai,218427,https://www.google.com/maps/?q,"39.68442,106.81583"
Jinzhou,215386,https://www.google.com/maps/?q,"39.1,121.71667"
Guangyuan,213365,https://www.google.com/maps/?q,"32.44201,105.823"
Hailar,211066,https://www.google.com/maps/?q,"49.2,119.7"
Daliang,210411,https://www.google.com/maps/?q,"22.84067,113.2503"
Sanming,209444,https://www.google.com/maps/?q,"26.24861,117.61861"
Hangu,208369,https://www.google.com/maps/?q,"39.24889,117.78917"
Suzhou,205130,https://www.google.com/maps/?q,"33.63611,116.97889"
Gaoping,204368,https://www.google.com/maps/?q,"30.77576,106.10294"
Daqing,203488,https://www.google.com/maps/?q,"46.58333,125"
Yiyang,202608,https://www.google.com/maps/?q,"28.58917,112.32833"
Linxia Chengguanzhen,202402,https://www.google.com/maps/?q,"35.60028,103.20639"
Yuncheng,201950,https://www.google.com/maps/?q,"35.02306,110.99278"
Changji,198776,https://www.google.com/maps/?q,"44.00782,87.30461"
Kaiyuan,198423,https://www.google.com/maps/?q,"23.69767,103.30372"
Mentougou,197772,https://www.google.com/maps/?q,"39.93819,116.09307"
Xinhui,195129,https://www.google.com/maps/?q,"22.456,113.0482"
Ezhou,193652,https://www.google.com/maps/?q,"30.4,114.83333"
Humen,191891,https://www.google.com/maps/?q,"22.81899,113.67306"
Haicheng,191651,https://www.google.com/maps/?q,"40.85158,122.74754"
Zoucheng,190537,https://www.google.com/maps/?q,"35.40056,116.96556"
Wanxian,188980,https://www.google.com/maps/?q,"30.81544,108.37089"
Donghai,188602,https://www.google.com/maps/?q,"22.94593,115.64204"
Baiyin,188533,https://www.google.com/maps/?q,"36.54696,104.17023"
Laizhou,188000,https://www.google.com/maps/?q,"37.18073,119.94217"
Zaoyang,184509,https://www.google.com/maps/?q,"32.12722,112.75417"
Quanzhou,184143,https://www.google.com/maps/?q,"24.91389,118.58583"
Baishan,183880,https://www.google.com/maps/?q,"41.93853,126.41965"
Zaozhuang,183665,https://www.google.com/maps/?q,"34.86472,117.55417"
Anda,181271,https://www.google.com/maps/?q,"46.40202,125.31454"
Shangqiu,181218,https://www.google.com/maps/?q,"34.45,115.65"
Xianning,179494,https://www.google.com/maps/?q,"29.84347,114.32201"
Korla,179465,https://www.google.com/maps/?q,"41.76055,86.15231"
Qianjiang,179079,https://www.google.com/maps/?q,"30.421,112.8919"
Chenzhou,179038,https://www.google.com/maps/?q,"25.8,113.03333"
Jingzhou,177878,https://www.google.com/maps/?q,"30.35028,112.19028"
Zhenzhou,176006,https://www.google.com/maps/?q,"32.28034,119.16999"
Xindi,175761,https://www.google.com/maps/?q,"29.81667,113.46667"
Jiutai,175115,https://www.google.com/maps/?q,"44.1525,125.83278"
Bozhou,174140,https://www.google.com/maps/?q,"33.87722,115.77028"
Licheng,172775,https://www.google.com/maps/?q,"23.29549,113.82465"
Weinan,172321,https://www.google.com/maps/?q,"34.50355,109.50891"
Nanping,171674,https://www.google.com/maps/?q,"26.645,118.17361"
Dongling,171454,https://www.google.com/maps/?q,"41.81444,123.57583"
Fuyang,170023,https://www.google.com/maps/?q,"32.9,115.81667"
Laiyang,169594,https://www.google.com/maps/?q,"36.97583,120.71361"
Jingmen,167750,https://www.google.com/maps/?q,"31.03361,112.20472"
Fuling,166507,https://www.google.com/maps/?q,"29.706,107.39575"
Gaozhou,166069,https://www.google.com/maps/?q,"21.93924,110.84607"
Ulanhot,165846,https://www.google.com/maps/?q,"46.08333,122.08333"
Shanwei,165699,https://www.google.com/maps/?q,"22.78199,115.3475"
Jiaozhou,165026,https://www.google.com/maps/?q,"36.28389,120.00333"
Fendou,164844,https://www.google.com/maps/?q,"45.21235,130.90254"
Tongzhou,163326,https://www.google.com/maps/?q,"39.90395,116.66183"
Anbu,162964,https://www.google.com/maps/?q,"23.44895,116.68092"
Xiaogan,160437,https://www.google.com/maps/?q,"30.92689,113.92221"
Qapqal,160000,https://www.google.com/maps/?q,"43.80194,81.08722"
Zhicheng,159383,https://www.google.com/maps/?q,"30.29556,111.50472"
Huzhou,158320,https://www.google.com/maps/?q,"30.8703,120.0933"
Nanpiao,157044,https://www.google.com/maps/?q,"41.09822,120.74792"
Yichun,155762,https://www.google.com/maps/?q,"47.72143,128.87529"
Lianghu,155000,https://www.google.com/maps/?q,"29.99152,120.89845"
Beipiao,154999,https://www.google.com/maps/?q,"41.79194,120.77917"
Guangshui,154771,https://www.google.com/maps/?q,"31.6199,113.9978"
Leshan,154477,https://www.google.com/maps/?q,"29.56227,103.76386"
Zhaodong,154406,https://www.google.com/maps/?q,"46.06771,125.98263"
Xinzhou,154003,https://www.google.com/maps/?q,"38.40917,112.73333"
Sanshui,153714,https://www.google.com/maps/?q,"23.15486,112.89161"
Boshan,153596,https://www.google.com/maps/?q,"36.48333,117.83333"
Yangchun,153547,https://www.google.com/maps/?q,"22.16667,111.78333"
Linhai,152937,https://www.google.com/maps/?q,"28.85535,121.1447"
Dingzhou,152934,https://www.google.com/maps/?q,"38.51306,114.99556"
Weihai,152595,https://www.google.com/maps/?q,"37.50914,122.11356"
Chenghua,152453,https://www.google.com/maps/?q,"23.46132,116.77007"
Deyang,152194,https://www.google.com/maps/?q,"31.13019,104.38198"
Yichun,152169,https://www.google.com/maps/?q,"27.83333,114.4"
Longfeng,152074,https://www.google.com/maps/?q,"46.53168,125.1038"
Qingyuan,151287,https://www.google.com/maps/?q,"23.7,113.03333"
Gaomi,150793,https://www.google.com/maps/?q,"36.38333,119.75278"
Loudi,150684,https://www.google.com/maps/?q,"27.73444,111.99444"
Huangyan,150448,https://www.google.com/maps/?q,"28.6501,121.26591"
Dunhua,148844,https://www.google.com/maps/?q,"43.3725,128.2425"
Yulin,148485,https://www.google.com/maps/?q,"22.63333,110.15"
Chizhou,148375,https://www.google.com/maps/?q,"30.66134,117.47783"
Sujiatun,148113,https://www.google.com/maps/?q,"41.65917,123.33917"
Honggang,147977,https://www.google.com/maps/?q,"46.40124,124.88322"
Qujing,146015,https://www.google.com/maps/?q,"25.48333,103.78333"
Hanzhong,145986,https://www.google.com/maps/?q,"33.07507,107.02214"
Xinji,145911,https://www.google.com/maps/?q,"37.90278,115.20361"
Taishan,145440,https://www.google.com/maps/?q,"22.25135,112.7799"
Sanya,144753,https://www.google.com/maps/?q,"18.24306,109.505"
Acheng,144665,https://www.google.com/maps/?q,"45.54545,126.97703"
Jinchang,144363,https://www.google.com/maps/?q,"38.50062,102.19379"
Meizhou,144212,https://www.google.com/maps/?q,"24.28859,116.11768"
Jinhua,142206,https://www.google.com/maps/?q,"29.10678,119.64421"
Jieshou,141993,https://www.google.com/maps/?q,"33.26338,115.36108"
Gongzhuling,140909,https://www.google.com/maps/?q,"43.50075,124.81979"
Shanhaiguan,140000,https://www.google.com/maps/?q,"40.0025,119.74889"
Altay,139341,https://www.google.com/maps/?q,"47.84864,88.13361"
Huadian,139047,https://www.google.com/maps/?q,"42.96333,126.74778"
Fuyu,138704,https://www.google.com/maps/?q,"45.18333,124.81667"
Chaohu,138463,https://www.google.com/maps/?q,"31.6,117.86667"
Jieshi,137444,https://www.google.com/maps/?q,"22.81027,115.83058"
Jiashan,137112,https://www.google.com/maps/?q,"30.84918,120.92583"
Hami,137072,https://www.google.com/maps/?q,"42.83393,93.50601"
Shizuishan,136570,https://www.google.com/maps/?q,"39.23333,106.76944"
Gejiu,136135,https://www.google.com/maps/?q,"23.36085,103.15372"
Jiagedaqi,135760,https://www.google.com/maps/?q,"50.41667,124.11667"
Shiqiao,135308,https://www.google.com/maps/?q,"22.9464,113.35769"
Dali,134040,https://www.google.com/maps/?q,"25.58474,100.21229"
Puqi,132891,https://www.google.com/maps/?q,"29.71667,113.88333"
Ankang,132654,https://www.google.com/maps/?q,"32.68,109.01722"
Zhalantun,132224,https://www.google.com/maps/?q,"48.00945,122.73651"
Dawukou,131880,https://www.google.com/maps/?q,"39.04194,106.39583"
Majie,131696,https://www.google.com/maps/?q,"25.0319,102.638"
Hepo,131238,https://www.google.com/maps/?q,"23.43077,115.82991"
Dazhou,130749,https://www.google.com/maps/?q,"31.21592,107.50092"
Shuangcheng,130710,https://www.google.com/maps/?q,"45.35,126.28333"
Dongyang,130387,https://www.google.com/maps/?q,"29.26778,120.22528"
Jiazi,130298,https://www.google.com/maps/?q,"22.87932,116.07318"
Songjiang,130218,https://www.google.com/maps/?q,"31.03595,121.2146"
Shangri-La,130000,https://www.google.com/maps/?q,"27.82511,99.70779"
Wuda,129922,https://www.google.com/maps/?q,"39.49944,106.71167"
Leiyang,129116,https://www.google.com/maps/?q,"26.40238,112.85908"
Xuanzhou,127758,https://www.google.com/maps/?q,"30.9525,118.75528"
Huaihua,127322,https://www.google.com/maps/?q,"27.56337,110.00404"
Jiangyou,127225,https://www.google.com/maps/?q,"31.76667,104.71667"
Xichang,126787,https://www.google.com/maps/?q,"27.89642,102.26341"
Danshui,126701,https://www.google.com/maps/?q,"22.7984,114.46716"
Macheng,126366,https://www.google.com/maps/?q,"31.18013,115.02213"
Huicheng,125919,https://www.google.com/maps/?q,"23.03845,116.28988"
Xiazhen,125667,https://www.google.com/maps/?q,"34.80222,117.11167"
Haimen,125427,https://www.google.com/maps/?q,"23.19346,116.61219"
Shahecheng,125132,https://www.google.com/maps/?q,"36.93833,114.50583"
Suining,124924,https://www.google.com/maps/?q,"30.50802,105.57332"
Yushu,124736,https://www.google.com/maps/?q,"44.8,126.53333"
Lecheng,124268,https://www.google.com/maps/?q,"25.128,113.35041"
Laiwu,124108,https://www.google.com/maps/?q,"36.19278,117.65694"
Jiupu,123843,https://www.google.com/maps/?q,"41.06667,122.95"
Baoshan,123791,https://www.google.com/maps/?q,"46.55861,131.42444"
Luoyang,123144,https://www.google.com/maps/?q,"23.16244,114.27342"
Minzhu,123018,https://www.google.com/maps/?q,"43.72145,127.33401"
Huangzhou,122563,https://www.google.com/maps/?q,"30.45,114.8"
Xiulin,122411,https://www.google.com/maps/?q,"29.71667,112.4"
Zhoucun,122402,https://www.google.com/maps/?q,"36.81667,117.81667"
Jiayuguan,122396,https://www.google.com/maps/?q,"39.81121,98.28618"
Lianhe,121367,https://www.google.com/maps/?q,"47.13333,129.27426"
Xilin Hot,120965,https://www.google.com/maps/?q,"43.96667,116.03333"
Fengcheng,120514,https://www.google.com/maps/?q,"40.45361,124.07167"
Zhaoyuan,120000,https://www.google.com/maps/?q,"37.36497,120.40997"
Lhasa,118721,https://www.google.com/maps/?q,"29.65,91.1"
Puning,118023,https://www.google.com/maps/?q,"23.31072,116.16869"
Shunyi,117623,https://www.google.com/maps/?q,"40.12175,116.64783"
Longjing,117185,https://www.google.com/maps/?q,"42.77139,129.42333"
Qingzhou,117056,https://www.google.com/maps/?q,"36.69667,118.47972"
Dasha,116307,https://www.google.com/maps/?q,"23.11037,113.4418"
Yakeshi,116284,https://www.google.com/maps/?q,"49.28333,120.73333"
Binzhou,115893,https://www.google.com/maps/?q,"37.36667,118.01667"
Lengshuijiang,115399,https://www.google.com/maps/?q,"27.68806,111.42944"
Tianfu,115370,https://www.google.com/maps/?q,"37.19723,122.05228"
Wenchang,115000,https://www.google.com/maps/?q,"19.6157,110.74894"
Mingshui,114858,https://www.google.com/maps/?q,"36.71667,117.5"
Yuyao,114177,https://www.google.com/maps/?q,"30.05,121.14944"
Hotan,114000,https://www.google.com/maps/?q,"37.1075,79.93548"
Pingshan,113631,https://www.google.com/maps/?q,"22.99376,114.71311"
Songyuan,113611,https://www.google.com/maps/?q,"45.12902,124.82769"
Maba,113609,https://www.google.com/maps/?q,"24.68413,113.59839"
Guangming,112819,https://www.google.com/maps/?q,"45.33333,122.78333"
Haikou,112644,https://www.google.com/maps/?q,"24.77985,102.57548"
Shaowu,112585,https://www.google.com/maps/?q,"27.34089,117.4831"
Kaiyuan,112462,https://www.google.com/maps/?q,"42.53306,124.04028"
Beibei,112019,https://www.google.com/maps/?q,"29.82739,106.43645"
Dongtai,110988,https://www.google.com/maps/?q,"32.85231,120.30947"
Encheng,110921,https://www.google.com/maps/?q,"22.18659,112.30424"
Zhuji,110721,https://www.google.com/maps/?q,"29.71877,120.24233"
Qingnian,110046,https://www.google.com/maps/?q,"36.84032,115.71183"
Mizhou,109968,https://www.google.com/maps/?q,"35.99472,119.3975"
Linshui,109955,https://www.google.com/maps/?q,"36.42472,114.20472"
Hailun,109881,https://www.google.com/maps/?q,"47.4565,126.95368"
Shilong,109733,https://www.google.com/maps/?q,"23.11444,113.84722"
Tieli,109636,https://www.google.com/maps/?q,"46.98043,128.04497"
Dongxing,109561,https://www.google.com/maps/?q,"45.36088,130.78679"